事業所番号,サービスコード,BS,CF,uneiページURL
3170104347,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104347-00&ServiceCd=110
3170104370,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170104370-00&ServiceCd=430
3170104388,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104388-00&ServiceCd=150
3170200020,110,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170200020-00&ServiceCd=110
3170200350,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170200350-00&ServiceCd=110
3170200418,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170200418-00&ServiceCd=150
3170200574,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170200574-00&ServiceCd=430
3170201168,720,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_025_unei=true&JigyosyoCd=3170201168-00&ServiceCd=720
3170201655,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170201655-00&ServiceCd=430
3170201945,780,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170201945-00&ServiceCd=780
3170201937,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170201937-00&ServiceCd=150
3170201986,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170201986-00&ServiceCd=780
3170202026,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170202026-00&ServiceCd=170
3170202026,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170202026-00&ServiceCd=410
3170202042,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170202042-00&ServiceCd=780
3170202323,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170202323-00&ServiceCd=780
3170202380,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170202380-00&ServiceCd=430
3170202489,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170202489-00&ServiceCd=780
3170202562,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3170202562-00&ServiceCd=140
3170202513,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170202513-00&ServiceCd=780
3170202596,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170202596-00&ServiceCd=780
3170202653,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3170202653-00&ServiceCd=220
3170202687,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170202687-00&ServiceCd=410
3170202687,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170202687-00&ServiceCd=170
3170202679,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170202679-00&ServiceCd=430
3170202695,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170202695-00&ServiceCd=170
3170202695,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170202695-00&ServiceCd=410
3170202828,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170202828-00&ServiceCd=150
3170202968,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170202968-00&ServiceCd=170
3170202950,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3170202950-00&ServiceCd=140
3170202968,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170202968-00&ServiceCd=410
3170203024,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170203024-00&ServiceCd=170
3170203024,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170203024-00&ServiceCd=410
3170203180,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170203180-00&ServiceCd=110
3170203289,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170203289-00&ServiceCd=110
3170203354,331,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_014_unei=true&JigyosyoCd=3170203354-00&ServiceCd=331
3170203370,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3170203370-00&ServiceCd=210
3170203362,331,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_014_unei=true&JigyosyoCd=3170203362-00&ServiceCd=331
3170203370,510,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_011_unei=true&JigyosyoCd=3170203370-00&ServiceCd=510
3170300101,720,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_025_unei=true&JigyosyoCd=3170300101-00&ServiceCd=720
3170300259,430,,有,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170300259-00&ServiceCd=430
3170300432,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170300432-00&ServiceCd=430
3170300507,430,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170300507-00&ServiceCd=430
3170300713,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170300713-00&ServiceCd=780
3170300754,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170300754-00&ServiceCd=780
3170300762,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170300762-00&ServiceCd=780
3170300796,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170300796-00&ServiceCd=780
3170300929,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170300929-00&ServiceCd=150
3170300960,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170300960-00&ServiceCd=780
3170400364,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170400364-00&ServiceCd=410
3170400356,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3170400356-00&ServiceCd=210
3170400364,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170400364-00&ServiceCd=170
3171100104,320,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_022_unei=true&JigyosyoCd=3171100104-00&ServiceCd=320
3171100112,320,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_022_unei=true&JigyosyoCd=3171100112-00&ServiceCd=320
3171100120,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3171100120-00&ServiceCd=780
3171200052,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3171200052-00&ServiceCd=430
3171200359,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3171200359-00&ServiceCd=150
3171200490,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3171200490-00&ServiceCd=430
3171200532,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3171200532-00&ServiceCd=780
3171200540,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3171200540-00&ServiceCd=210
3171200615,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3171200615-00&ServiceCd=430
3171200623,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3171200623-00&ServiceCd=210
3171400371,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3171400371-00&ServiceCd=170
3171400371,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3171400371-00&ServiceCd=410
3171400553,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3171400553-00&ServiceCd=780
